Metabolite,Param,mean,sd,X2.5.,X50.,X97.5.,Rhat,Z.x,P_GT_LT_0,SIG_BAYES,Estimate,StdErr,Z.y,P-value,P.Bon,P.BH,SIG_BH,SIG_BON,SIG.RAW
X45,beta_x[28],-0.05296853669276899,0.09163936626228002,-0.2462703817476302,-0.0478834483711576,0.12330811413991767,1.0002894913810452,-0.5780107267565374,0.72375,FALSE,-0.07843894113077853,0.1470771880044556,-0.5333181997496599,0.5938133313210674,1,0.952655248738891,FALSE,FALSE,FALSE
X13,beta_x[11],-0.061963019949324946,0.10346271587411465,-0.28648905205989406,-0.05477956542878626,0.12657012281345995,1.0003304253277399,-0.5988922620658509,0.722,FALSE,-0.18775272709473,0.1632159638065486,-1.1503331090656277,0.2500066990760598,1,0.7420393340754107,FALSE,FALSE,FALSE
X47,beta_x[29],-0.06708067755701792,0.11587555574796071,-0.3272341886625539,-0.054990406165443886,0.1356178252452349,1.0010278077427863,-0.5789027472103276,0.71975,FALSE,-0.22445563662458076,0.20495500376752943,-1.0951459222687236,0.2734527127727338,1,0.7420393340754107,FALSE,FALSE,FALSE
X26,beta_x[17],-0.06013268808438489,0.10402949499058822,-0.28214259037965006,-0.053475144260879987,0.12881211824947136,1.000636493047148,-0.5780349898826792,0.7185,FALSE,-0.14517777922807434,0.15604527582677863,-0.9303567727947882,0.35218639206413493,1,0.7701136445746889,FALSE,FALSE,FALSE
X29,beta_x[19],-0.05230153121859398,0.09756498318273767,-0.2616833417383362,-0.045229894537307774,0.1286100418293085,0.9993830588677561,-0.5360686745636397,0.69075,FALSE,-0.11382930949483566,0.13409209627696717,-0.8488890296689916,0.3959430437705963,1,0.77303165688545,FALSE,FALSE,FALSE
X15,beta_x[12],0.04957870900274869,0.10593081049708601,-0.15396972773280027,0.0414714621480101,0.26966916499871196,1.00040527409598,0.4680291670581763,0.68,FALSE,0.12494881643201802,0.18221617621906624,0.6857174759380334,0.49289128430419155,1,0.9185701207487206,FALSE,FALSE,FALSE
X31,beta_x[20],-0.04833595281131163,0.11500827307263349,-0.302838300762132,-0.03943609226026565,0.16819795093990098,0.9997192188205585,-0.42028239812613355,0.662,FALSE,-0.1909909705871031,0.22157608783589056,-0.8619656229717342,0.3887064353816801,1,0.77303165688545,FALSE,FALSE,FALSE
X55,beta_x[34],0.04131899607685155,0.10178124656626691,-0.15538024211047138,0.036950803737471664,0.25389404401279536,0.999319021128823,0.405958832995329,0.65525,FALSE,0.14607316414252186,0.15854721905299365,0.9213227769936324,0.35688193285168507,1,0.7701136445746889,FALSE,FALSE,FALSE
X35,beta_x[23],-0.041908692802976356,0.10271120121604016,-0.2544669712943226,-0.03455612737130269,0.15137316690869634,0.999602177311867,-0.4080245611656967,0.6495,FALSE,-0.10276940811448618,0.15895174045305266,-0.6465447174190567,0.5179266469513897,1,0.9232605445655206,FALSE,FALSE,FALSE
X5,beta_x[4],0.02697553574099556,0.0892169339752771,-0.1487534784379801,0.023964694933424742,0.20735680091642497,0.9994954579158342,0.3023589193108872,0.6195,FALSE,0.046329164582063896,0.12655825384931976,0.3660698782809013,0.7143129334685903,1,0.952655248738891,FALSE,FALSE,FALSE
