MISSING_RATE,FRAC_SIG,N_SAMPLE,label,tp,fn,fp,tn,avg_mag_error,num_sign_error,n_sig,n_true,N_SIM,avg_mag_error_obs,fdr,tpr,fpr,ppv,f1
0,0.2,50,raw,741,459,185,4015,1.3175939627676319,3,926,1200,20100,197,0.19978401727861772,0.6175,0.04404761904761905,0.8002159827213823,0.3485418626528693
0,0.2,75,bayes,691,509,103,4097,0.7748174987403915,0,794,1200,20100,199,0.1297229219143577,0.5758333333333333,0.024523809523809524,0.8702770780856424,0.3465396188565697
0,0.2,75,bh,644,556,45,4155,1.1392858358716984,0,689,1200,20100,199,0.06531204644412192,0.5366666666666666,0.010714285714285714,0.9346879535558781,0.3409211222869243
0,0.2,75,bon,497,703,9,4191,1.142204687504162,0,506,1200,20100,199,0.017786561264822136,0.4141666666666667,0.002142857142857143,0.9822134387351779,0.291324736225088
0,0.2,75,raw,896,304,233,3967,1.2009797651578424,0,1129,1200,20100,199,0.20637732506643047,0.7466666666666667,0.05547619047619048,0.7936226749335695,0.3847144697294977
0,0.2,100,bayes,809,391,94,4106,0.7721731571439201,1,903,1200,20100,200,0.10409745293466224,0.6741666666666667,0.02238095238095238,0.8959025470653378,0.38468854018069426
0,0.2,100,bh,742,458,49,4151,1.0930350872382784,1,791,1200,20100,200,0.061946902654867256,0.6183333333333333,0.011666666666666667,0.9380530973451328,0.37267704671019586
0,0.2,100,bon,592,608,10,4190,1.1113720406598782,0,602,1200,20100,199,0.016611295681063124,0.49333333333333335,0.002380952380952381,0.9833887043189369,0.3285238623751387
0,0.2,100,raw,939,261,222,3978,1.1107402793136152,1,1161,1200,20100,199,0.19121447028423771,0.7825,0.05285714285714286,0.8087855297157622,0.397712833545108
0,0.2,150,bayes,948,252,103,4097,0.8398454925514233,1,1051,1200,20100,200,0.09800190294957184,0.79,0.024523809523809524,0.9019980970504282,0.42114615726343857
0,0.2,150,bh,916,284,41,4159,1.0699177763967755,1,957,1200,20100,200,0.042842215256008356,0.7633333333333333,0.009761904761904762,0.9571577847439916,0.42466388502549834
0,0.2,150,bon,792,408,3,4197,1.0825142861079031,0,795,1200,20100,200,0.0037735849056603774,0.66,7.142857142857143e-4,0.9962264150943396,0.3969924812030075
0,0.2,150,raw,1016,184,220,3980,1.0568518383203476,1,1236,1200,20100,200,0.1779935275080906,0.8466666666666667,0.05238095238095238,0.8220064724919094,0.41707717569786534
0,0.25,25,bayes,191,1209,59,3941,0.3867500417853119,0,250,1400,20100,193,0.236,0.13642857142857143,0.01475,0.764,0.11575757575757577
0,0.25,25,bh,71,1329,3,3997,0.4128211486005219,0,74,1400,20100,200,0.04054054054054054,0.05071428571428571,7.5e-4,0.9594594594594594,0.04816824966078697
0,0.25,25,bon,36,1364,0,4000,0.3581731133353995,0,36,1400,20100,200,0,0.025714285714285714,0,1,0.025069637883008353
0,0.25,25,raw,477,923,188,3812,1.5370391022993084,1,665,1400,20100,176,0.28270676691729324,0.3407142857142857,0.047,0.7172932330827068,0.23099273607748186
0,0.25,50,bayes,525,875,98,3902,0.7047598052778451,0,623,1400,20100,196,0.15730337078651685,0.375,0.0245,0.8426966292134832,0.2595155709342561
0,0.25,50,bh,431,969,37,3963,1.105241815934916,0,468,1400,20100,196,0.07905982905982906,0.3078571428571429,0.00925,0.920940170940171,0.230728051391863
0,0.25,50,bon,273,1127,6,3994,1.0270226610891655,0,279,1400,20100,197,0.021505376344086023,0.195,0.0015,0.978494623655914,0.1625967837998809
0,0.25,50,raw,799,601,266,3734,1.3969918746907624,1,1065,1400,20100,195,0.24976525821596243,0.5707142857142857,0.0665,0.7502347417840376,0.3241379310344828
0,0.25,75,bayes,741,659,87,3913,0.7558805736004061,0,828,1400,20100,198,0.10507246376811594,0.5292857142857142,0.02175,0.894927536231884,0.3325852782764811
0,0.25,75,bh,682,718,29,3971,1.0905917135828862,0,711,1400,20100,200,0.040787623066104076,0.48714285714285716,0.00725,0.9592123769338959,0.3230696352439602
0,0.25,75,bon,499,901,6,3994,1.0988178600436989,0,505,1400,20100,200,0.011881188118811881,0.35642857142857143,0.0015,0.9881188118811881,0.26194225721784775
0,0.25,75,raw,962,438,220,3780,1.130015830756833,0,1182,1400,20100,199,0.18612521150592218,0.6871428571428572,0.055,0.8138747884940778,0.37257939581719596
0,0.25,100,bayes,954,446,107,3893,0.8295656085480464,0,1061,1400,20100,200,0.10084825636192271,0.6814285714285714,0.02675,0.8991517436380773,0.38764729784640395
0,0.25,100,bh,891,509,50,3950,1.1228762566212562,0,941,1400,20100,200,0.053134962805526036,0.6364285714285715,0.0125,0.946865037194474,0.3806065783853054
0,0.25,100,bon,706,694,3,3997,1.1288699998534861,0,709,1400,20100,199,0.004231311706629055,0.5042857142857143,7.5e-4,0.995768688293371,0.334755808440019
0,0.25,100,raw,1085,315,202,3798,1.11400218480737,0,1287,1400,20100,200,0.15695415695415696,0.775,0.0505,0.8430458430458431,0.4037960550800149
0,0.25,150,bayes,1138,262,95,3905,0.8642739360986376,0,1233,1400,20100,200,0.0770478507704785,0.8128571428571428,0.02375,0.9229521492295215,0.432206608431447
0,0.25,150,bh,1070,330,47,3953,1.0694342142920064,0,1117,1400,20100,200,0.04207699194270367,0.7642857142857142,0.01175,0.9579230080572964,0.425109257052046
0,0.25,150,bon,936,464,4,3996,1.072395455818766,0,940,1400,20100,200,0.00425531914893617,0.6685714285714286,0.001,0.9957446808510638,0.4
0,0.25,150,raw,1210,190,175,3825,1.0678700052916843,0,1385,1400,20100,200,0.1263537906137184,0.8642857142857143,0.04375,0.8736462093862816,0.4344703770197487
0,0.3,25,bayes,270,1530,44,3556,0.49511011646356584,0,314,1800,20100,196,0.14012738853503184,0.15,0.012222222222222223,0.8598726114649682,0.12771996215704826
0,0.3,25,bh,84,1716,9,3591,0.365342515513277,0,93,1800,20100,199,0.0967741935483871,0.04666666666666667,0.0025,0.9032258064516129,0.044374009508716325
0,0.3,25,bon,32,1768,1,3599,0.3386809472538011,0,33,1800,20100,199,0.030303030303030304,0.017777777777777778,2.777777777777778e-4,0.9696969696969697,0.01745771958537916
0,0.3,25,raw,584,1216,164,3436,1.6539908047716902,1,748,1800,20100,180,0.2192513368983957,0.3244444444444444,0.04555555555555556,0.7807486631016043,0.2291993720565149
0,0.3,50,bayes,670,1130,80,3520,0.7282287244827312,0,750,1800,20100,193,0.10666666666666667,0.37222222222222223,0.022222222222222223,0.8933333333333333,0.2627450980392157
0,0.3,50,bh,536,1264,38,3562,1.0055984619315255,0,574,1800,20100,198,0.06620209059233449,0.29777777777777775,0.010555555555555556,0.9337979094076655,0.2257792754844145
0,0.3,50,bon,311,1489,4,3596,0.9898621287121719,0,315,1800,20100,199,0.012698412698412698,0.17277777777777778,0.0011111111111111111,0.9873015873015873,0.14704491725768323
0,0.3,50,raw,1012,788,195,3405,1.29238041216248,0,1207,1800,20100,198,0.1615575807787904,0.5622222222222222,0.05416666666666667,0.8384424192212097,0.33654805453940806
0,0.3,75,bayes,1016,784,85,3515,0.8273315405756709,0,1101,1800,20100,198,0.07720254314259764,0.5644444444444444,0.02361111111111111,0.9227974568574023,0.3502240606687349
0,0.3,75,bh,883,917,33,3567,1.1331536228711807,0,916,1800,20100,198,0.036026200873362446,0.4905555555555556,0.009166666666666667,0.9639737991266375,0.3251104565537555
0,0.3,75,bon,641,1159,4,3596,1.1425613447649134,0,645,1800,20100,198,0.006201550387596899,0.3561111111111111,0.0011111111111111111,0.993798449612403,0.26216768916155414
0,0.3,75,raw,1223,577,167,3433,1.1533360495455083,2,1390,1800,20100,200,0.12014388489208633,0.6794444444444444,0.04638888888888889,0.8798561151079136,0.38338557993730404
